origin_link,outgoing_link,origin_title,outgoing_title
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Ideal_(ring_theory)',b'Algebraic geometry',b'Ideal (ring theory)'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Italian_school_of_algebraic_geometry',b'Algebraic geometry',b'Italian school of algebraic geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Generic_point',b'Algebraic geometry',b'Generic point'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Commutative_algebra',b'Algebraic geometry',b'Commutative algebra'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Hilbert%27s_basis_theorem',b'Algebraic geometry',"b""Hilbert's basis theorem"""
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Hilbert%27s_Nullstellensatz',b'Algebraic geometry',"b""Hilbert's Nullstellensatz"""
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Francis_Sowerby_Macaulay',b'Algebraic geometry',b'Francis Sowerby Macaulay'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Multivariate_resultant',b'Algebraic geometry',b'Multivariate resultant'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Elimination_theory',b'Algebraic geometry',b'Elimination theory'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Singularity_theory',b'Algebraic geometry',b'Singularity theory'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Bernhard_Riemann',b'Algebraic geometry',b'Bernhard Riemann'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Riemann_surface',b'Algebraic geometry',b'Riemann surface'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Non-Euclidean_geometry',b'Algebraic geometry',b'Non-Euclidean geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Abelian_integral',b'Algebraic geometry',b'Abelian integral'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Edmond_Laguerre',b'Algebraic geometry',b'Edmond Laguerre'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Arthur_Cayley',b'Algebraic geometry',b'Arthur Cayley'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Quadratic_form',b'Algebraic geometry',b'Quadratic form'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Felix_Klein',b'Algebraic geometry',b'Felix Klein'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Transformation_group',b'Algebraic geometry',b'Transformation group'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Kleinian_geometry',b'Algebraic geometry',b'Kleinian geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Birational_transformation',b'Algebraic geometry',b'Birational transformation'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Italian_school_of_algebraic_geometry',b'Algebraic geometry',b'Italian school of algebraic geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Algebraic_surface',b'Algebraic geometry',b'Algebraic surface'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Birational_isomorphism',b'Algebraic geometry',b'Birational isomorphism'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/G%C3%A9rard_Desargues',b'Algebraic geometry',b'G\xc3\xa9rard Desargues'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Synthetic_geometry',b'Algebraic geometry',b'Synthetic geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Projective_geometry',b'Algebraic geometry',b'Projective geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Analytic_geometry',b'Algebraic geometry',b'Analytic geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Isaac_Newton',b'Algebraic geometry',b'Isaac Newton'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Gottfried_Wilhelm_Leibniz',b'Algebraic geometry',b'Gottfried Wilhelm Leibniz'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Joseph_Louis_Lagrange',b'Algebraic geometry',b'Joseph Louis Lagrange'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Leonhard_Euler',b'Algebraic geometry',b'Leonhard Euler'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Renaissance',b'Algebraic geometry',b'Renaissance'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Gerolamo_Cardano',b'Algebraic geometry',b'Gerolamo Cardano'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Niccol%C3%B2_Fontana_Tartaglia',b'Algebraic geometry',b'Niccol\xc3\xb2 Fontana Tartaglia'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Blaise_Pascal',b'Algebraic geometry',b'Blaise Pascal'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Franciscus_Vieta',b'Algebraic geometry',b'Franciscus Vieta'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Ren%C3%A9_Descartes',b'Algebraic geometry',b'Ren\xc3\xa9 Descartes'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Pierre_de_Fermat',b'Algebraic geometry',b'Pierre de Fermat'
